rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Reinaldo,78850,2,276,True,2.8,0,2,1,1,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Lateral,lat
12,Richard,78851,1,354,True,6.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Ceará,Goleiro,gol
12,Marcão Silva,78856,4,292,True,6.4,0,7,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Meia,mei
12,Luiz Felipe,79035,3,277,True,-3.8,1,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Zagueiro,zag
12,Víctor Cuesta,79113,3,285,True,4.0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Internacional,Zagueiro,zag
12,Ricardo Silva,79334,3,327,True,6.7,0,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Zagueiro,zag
12,Roger Machado ,79437,6,266,True,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Técnico,tec
12,Zé Roberto,80076,5,373,True,-0.7,1,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Atacante,ata
12,Jadson,80129,4,286,True,-0.3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
12,Yago Pikachu,80196,4,356,True,0.8,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
12,Michel,80664,2,286,True,3.0,0,4,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Lateral,lat
12,Pedro Geromel,80853,3,284,True,10.0,0,5,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
12,Marquinhos Santos,81031,6,286,True,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Técnico,tec
12,Jair,81091,4,282,True,-0.6,0,1,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
12,Mayke,81150,2,275,True,7.2,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Palmeiras,Lateral,lat
12,Carlos Sánchez,81677,4,277,True,-1.4,1,1,2,4,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Meia,mei
12,Cazares,81682,4,266,True,0.2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Meia,mei
12,Rossi,81798,5,265,True,1.0,0,1,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Atacante,ata
12,Alisson,81845,4,284,True,1.9,0,0,1,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,Grêmio,Meia,mei
12,Osman,81898,5,1371,True,1.5,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
12,Marcelo Toscano,82276,5,327,True,0.4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
12,Juninho,82381,4,327,True,1.5,0,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
12,Chico,82407,4,286,True,2.1,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
12,Zé Rafael ,82455,4,275,True,5.3,0,5,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,Meia,mei
12,Tinga,82628,2,356,True,3.6,0,1,1,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fortaleza,Lateral,lat
12,Matheus Galdezani,82634,4,265,True,3.5,1,3,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
12,Paulinho Moccelin,82640,5,292,True,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sport,Atacante,ata
12,Rafael Forster,82764,3,286,True,-2.3,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Zagueiro,zag
12,Maurício Barbieri,82792,6,280,True,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Técnico,tec
12,Betinho,82876,4,292,True,-1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Meia,mei
12,Matheus Ribeiro,82943,2,315,True,1.6,0,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Lateral,lat
12,Rafael Thyere,83048,3,292,True,4.3,0,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sport,Zagueiro,zag
12,Gabriel,83257,5,262,True,25.8,0,0,0,1,6,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,Flamengo,Atacante,ata
12,Marcos Guilherme ,83266,5,277,True,8.7,0,1,2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Santos,Atacante,ata
12,Patrick,83433,4,285,True,1.0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Meia,mei
12,Léo Pereira,83528,3,262,True,8.0,0,2,1,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Flamengo,Zagueiro,zag
12,Clayson,83817,5,1371,True,0.3,0,0,0,4,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
12,Fernando Sobral,84428,4,354,True,2.3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceará,Meia,mei
12,Romarinho,84523,5,356,True,2.0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Atacante,ata
12,Lucas Evangelista,84674,4,280,True,2.1,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Meia,mei
12,Robson,84817,5,356,True,11.2,0,2,3,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fortaleza,Atacante,ata
12,Ronaldo Henrique,85149,4,292,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Meia,mei
12,Cantillo,85315,4,264,True,11.3,0,5,0,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
12,João Paulo,85425,1,277,True,2.0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,Santos,Goleiro,gol
12,Léo,85626,2,276,True,0.0,1,3,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Lateral,lat
12,Hyoran,85931,4,282,True,-1.4,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
12,Tchê Tchê,86686,4,282,True,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
12,Luan,86759,4,264,True,2.5,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
12,José Welison,86859,4,292,True,4.6,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Meia,mei
